ds,yhat,sku_id
2025-12-01,3.8156155199999997,SKU0001
2026-01-01,4.599405219056604,SKU0001
2026-02-01,5.383194917744265,SKU0001
2026-03-01,6.091134000047739,SKU0001
2026-04-01,6.874923698048878,SKU0001
2026-05-01,7.633429857075496,SKU0001
2026-06-01,8.417219555044566,SKU0001
2026-07-01,9.175725714369475,SKU0001
2026-08-01,9.959515412338547,SKU0001
2026-09-01,10.743305110307618,SKU0001
2026-10-01,11.501811269632526,SKU0001
2026-01-01,11.098829720000001,SKU0002
2026-02-01,9.9349278040884,SKU0002
2026-03-01,8.883662018651604,SKU0002
2026-04-01,7.71976006933259,SKU0002
2026-05-01,6.593403018735053,SKU0002
2026-06-01,5.429500783801832,SKU0002
2026-07-01,4.303143782253554,SKU0002
2026-08-01,3.1392415473203323,SKU0002
2026-09-01,1.9753393123871112,SKU0002
2026-10-01,0.8489823108388316,SKU0002
2026-02-01,2.47925314,SKU0003
2026-03-01,4.431180215466666,SKU0003
2026-04-01,6.592242334973705,SKU0003
2026-05-01,8.683592768802864,SKU0003
2026-06-01,10.844654880720746,SKU0003
2026-07-01,12.936005311609021,SKU0003
2026-08-01,15.097067423526907,SKU0003
2026-09-01,17.25812953544479,SKU0003
2026-10-01,19.349479966333064,SKU0003
2026-01-01,9.743074400000001,SKU0004
2026-02-01,10.125387808839779,SKU0004
2026-03-01,10.470703146633367,SKU0004
2026-04-01,10.853016555212555,SKU0004
2026-05-01,11.222997272968358,SKU0004
2026-06-01,11.60531068015228,SKU0004
2026-07-01,11.975291396781882,SKU0004
2026-08-01,12.357604803965804,SKU0004
2026-09-01,12.739918211149728,SKU0004
2026-10-01,13.10989892777933,SKU0004
2025-12-01,4.85636955,SKU0005
2026-01-01,5.190542260613207,SKU0005
2026-02-01,5.5247149711056425,SKU0005
2026-03-01,5.82654838724955,SKU0005
2026-04-01,6.1607210980672225,SKU0005
2026-05-01,6.484114043725172,SKU0005
2026-06-01,6.818286754272572,SKU0005
2026-07-01,7.141679699963605,SKU0005
2026-08-01,7.475852410511005,SKU0005
