ds,yhat,sku_id
2025-12-01,3.8156155199999997,SKU0001
2026-01-01,4.599405219056604,SKU0001
2026-02-01,5.383194917744265,SKU0001
2026-03-01,6.091134000047739,SKU0001
2026-04-01,6.874923698048878,SKU0001
2026-05-01,7.633429857075496,SKU0001
2026-06-01,8.417219555044566,SKU0001
2026-07-01,9.175725714369475,SKU0001
2026-08-01,9.959515412338547,SKU0001
2026-09-01,10.743305110307618,SKU0001
2026-10-01,11.501811269632526,SKU0001
2026-01-01,11.098829720000001,SKU0002
2026-02-01,9.9349278040884,SKU0002
2026-03-01,8.883662018651604,SKU0002
2026-04-01,7.71976006933259,SKU0002
2026-05-01,6.593403018735053,SKU0002
2026-06-01,5.429500783801832,SKU0002
2026-07-01,4.303143782253554,SKU0002
2026-08-01,3.1392415473203323,SKU0002
2026-09-01,1.9753393123871112,SKU0002
2026-10-01,0.8489823108388316,SKU0002
2026-02-01,2.66852256,SKU0003
2026-03-01,4.488259255466667,SKU0003
2026-04-01,6.50296773981966,SKU0003
2026-05-01,8.452685629762833,SKU0003
2026-06-01,10.467394114646442,SKU0003
2026-07-01,12.417112003243483,SKU0003
2026-08-01,14.431820488127093,SKU0003
2026-09-01,16.4465289730107,SKU0003
2026-10-01,18.396246861607743,SKU0003
2026-01-01,11.7033908,SKU0004
2026-02-01,11.053983351886792,SKU0004
2026-03-01,10.467421800833614,SKU0004
2026-04-01,9.818014374623514,SKU0004
2026-05-01,9.189555502468378,SKU0004
2026-06-01,8.540147932250225,SKU0004
2026-07-01,7.911689010180227,SKU0004
2026-08-01,7.262281457374562,SKU0004
2026-09-01,6.612873904568898,SKU0004
2026-10-01,5.984414982498899,SKU0004
2026-11-01,5.335007429693235,SKU0004
2025-12-01,4.85636955,SKU0005
2026-01-01,5.190542260613207,SKU0005
2026-02-01,5.5247149711056425,SKU0005
2026-03-01,5.82654838724955,SKU0005
2026-04-01,6.1607210980672225,SKU0005
2026-05-01,6.484114043725172,SKU0005
2026-06-01,6.818286754272572,SKU0005
2026-07-01,7.141679699963605,SKU0005
